TERM , D, IDF, TF-IDF
,273271,,0.0, 0.0,
Black,13,,0.0, 0.0,
BlackRock,10,,0.0, 0.0,
BlackRock,,2,,0.0, 0.0,
BlackRock’s,1,,0.0, 0.0,
Blake,1,,0.0, 0.0,
BlockOne,2,,0.0, 0.0,
BlockOneIQ,,1,,0.0, 0.0,
Blockchain,4,,0.0, 0.0,
Blockchain.info,2,,0.0, 0.0,
Blockchain.info.,1,,0.0, 0.0,
Blockchain‐Based,1,,0.0, 0.0,
Blog,2,,0.0, 0.0,
Blog.,1,,0.0, 0.0,
Blomfield,1,,0.0, 0.0,
Bloomberg,7,,0.0, 0.0,
Bloomberg),1,,0.0, 0.0,
Bloomberg.,2,,0.0, 0.0,
Blueprint,1,,0.0, 0.0,
Blurring,1,,0.0, 0.0,
Board,,1,,0.0, 0.0,
Bob,2,,0.0, 0.0,
Boca,1,,0.0, 0.0,
Boden,1,,0.0, 0.0,
Bond,3,,0.0, 0.0,
Bondcube,2,,0.0, 0.0,
Bondcube,,1,,0.0, 0.0,
Boring,1,,0.0, 0.0,
Borrowell,2,,0.0, 0.0,
Boston,2,,0.0, 0.0,
Both,2,,0.0, 0.0,
Bottomley,1,,0.0, 0.0,
Bouchard,1,,0.0, 0.0,
Bought,4,,0.0, 0.0,
Bowman,1,,0.0, 0.0,
Brad,1,,0.0, 0.0,
Branch,2,,0.0, 0.0,
Brand,3,,0.0, 0.0,
Brand.,1,,0.0, 0.0,
Breaches,1,,0.0, 0.0,
Brent,1,,0.0, 0.0,
BrewDog,2,,0.0, 0.0,
BrewDog,,1,,0.0, 0.0,
Brewdog,1,,0.0, 0.0,
Breweries,1,,0.0, 0.0,
Brexit,4,,0.0, 0.0,
Brexit‐Related,1,,0.0, 0.0,
Bridge,1,,0.0, 0.0,
Brill,1,,0.0, 0.0,
Bringing,1,,0.0, 0.0,
Broadhaven,1,,0.0, 0.0,
Brock,1,,0.0, 0.0,
Brody,1,,0.0, 0.0,
Brouwer,1,,0.0, 0.0,
Brown,1,,0.0, 0.0,
Bruno,2,,0.0, 0.0,
Bruno,,1,,0.0, 0.0,
Budget,1,,0.0, 0.0,
Building,1,,0.0, 0.0,
Bureau,2,,0.0, 0.0,
Business,17,,0.0, 0.0,
Businesses,1,,0.0, 0.0,
But,3,,0.0, 0.0,
Butts,1,,0.0, 0.0,
Buy,8,,0.0, 0.0,
Buying,2,,0.0, 0.0,
Buy‐Side,3,,0.0, 0.0,
Buy‐side,2,,0.0, 0.0,
By,1,,0.0, 0.0,
Börse,4,,0.0, 0.0,
C,1385,,0.0, 0.0,
CAGR3,1,,0.0, 0.0,
CASE,30,,0.0, 0.0,
CAVEATS,2,,0.0, 0.0,
CERTAINTY‐BASED,1,,0.0, 0.0,
CF,4,,0.0, 0.0,
CFPB,1,,0.0, 0.0,
CFTC,2,,0.0, 0.0,
CHAIN,3,,0.0, 0.0,
CHAINS,1,,0.0, 0.0,
CHANGE,2,,0.0, 0.0,
CHANGES,1,,0.0, 0.0,
CHANGING,2,,0.0, 0.0,
CHANNEL,1,,0.0, 0.0,
CIRCA,14,,0.0, 0.0,
CLS,1,,0.0, 0.0,
CME,1,,0.0, 0.0,
CMO,2,,0.0, 0.0,
CNBC,7,,0.0, 0.0,
CNBC.,3,,0.0, 0.0,
COBOL),1,,0.0, 0.0,
COLLISION,1,,0.0, 0.0,
COMMODITIZATION,2,,0.0, 0.0,
COMPLEX,1,,0.0, 0.0,
CONCLUSION,8,,0.0, 0.0,
CONDITIONS,22,,0.0, 0.0,
CONNECTIONS,1,,0.0, 0.0,
CONTACT,1,,0.0, 0.0,
CONTEXT,5,,0.0, 0.0,
CONTROLLED,,1,,0.0, 0.0,
COST,3,,0.0, 0.0,
COSTS,1,,0.0, 0.0,
CRITICAL,22,,0.0, 0.0,
CROSS‐CUTTING,1,,0.0, 0.0,
CROWDFUNDING,22,,0.0, 0.0,
CURATED,1,,0.0, 0.0,
CURRENT,1,,0.0, 0.0,
CUSTOMER,1,,0.0, 0.0,
CVC,1,,0.0, 0.0,
Cai,4,,0.0, 0.0,
Cairns,1,,0.0, 0.0,
Caitlin,1,,0.0, 0.0,
Calastone,1,,0.0, 0.0,
Caldwell,1,,0.0, 0.0,
Call,1,,0.0, 0.0,
Calmejane,1,,0.0, 0.0,
Calmjane,1,,0.0, 0.0,
Camden,1,,0.0, 0.0,
Can,19,,0.0, 0.0,
Canada,12,,0.0, 0.0,
Canada,,1,,0.0, 0.0,
Canada.8,1,,0.0, 0.0,
Cannot,1,,0.0, 0.0,
Capabilities,2,,0.0, 0.0,
Capability,2,,0.0, 0.0,
Capacity,1,,0.0, 0.0,
Capital,17,,0.0, 0.0,
Capital”.,1,,0.0, 0.0,
Cappell,1,,0.0, 0.0,
Caps,1,,0.0, 0.0,
Carbone,1,,0.0, 0.0,
Card,5,,0.0, 0.0,
Card/Other,1,,0.0, 0.0,
Caroline,1,,0.0, 0.0,
Carpenter,3,,0.0, 0.0,
Carpenter,,1,,0.0, 0.0,
Casey,7,,0.0, 0.0,
Cash,2,,0.0, 0.0,
Casualty,,1,,0.0, 0.0,
Cat,7,,0.0, 0.0,
Catalini,1,,0.0, 0.0,
Catalysed,1,,0.0, 0.0,
Catherine,3,,0.0, 0.0,
Catlin,1,,0.0, 0.0,
Cecil,1,,0.0, 0.0,
Cedric,1,,0.0, 0.0,
Celent,1,,0.0, 0.0,
Center,2,,0.0, 0.0,
Central,3,,0.0, 0.0,
Centre,1,,0.0, 0.0,
Certain,5,,0.0, 0.0,
Certainty‐Based,2,,0.0, 0.0,
Chai,10,,0.0, 0.0,
Chain,6,,0.0, 0.0,
Chains,2,,0.0, 0.0,
Chairman,3,,0.0, 0.0,
Chairman’s,1,,0.0, 0.0,
Challenger,1,,0.0, 0.0,
Challenges,1,,0.0, 0.0,
Challenging,2,,0.0, 0.0,
Chambers,1,,0.0, 0.0,
Chandra,1,,0.0, 0.0,
Change,2,,0.0, 0.0,
Changing,2,,0.0, 0.0,
Channel,7,,0.0, 0.0,
Channel,,1,,0.0, 0.0,
Channels,4,,0.0, 0.0,
Chapman,1,,0.0, 0.0,
Characteristics,1,,0.0, 0.0,
Charaka,1,,0.0, 0.0,
Charles,6,,0.0, 0.0,
Chartered,1,,0.0, 0.0,
Chase,5,,0.0, 0.0,
Chen,1,,0.0, 0.0,
Chief,10,,0.0, 0.0,
China,7,,0.0, 0.0,
China:,1,,0.0, 0.0,
China’s,2,,0.0, 0.0,
Chinese,3,,0.0, 0.0,
Chiong,1,,0.0, 0.0,
Chip,1,,0.0, 0.0,
Chithambaram,1,,0.0, 0.0,
Chris,10,,0.0, 0.0,
Christian,2,,0.0, 0.0,
Christine,1,,0.0, 0.0,
Christof,1,,0.0, 0.0,
Christopher,2,,0.0, 0.0,
Chuck,1,,0.0, 0.0,
Church,2,,0.0, 0.0,
Citi,2,,0.0, 0.0,
City,2,,0.0, 0.0,
Claire,2,,0.0, 0.0,
Clare.ai,1,,0.0, 0.0,
Clark,1,,0.0, 0.0,
Class,3,,0.0, 0.0,
Classes,1,,0.0, 0.0,
Claude,1,,0.0, 0.0,
Clearing,2,,0.0, 0.0,
Client,5,,0.0, 0.0,
Clients,3,,0.0, 0.0,
Clients,,1,,0.0, 0.0,
Clients’,,1,,0.0, 0.0,
Cloud,1,,0.0, 0.0,
Club,5,,0.0, 0.0,
Club,,1,,0.0, 0.0,
Cognitive,1,,0.0, 0.0,
Colin,1,,0.0, 0.0,
Colleagues?”.,1,,0.0, 0.0,
Collection,1,,0.0, 0.0,
ColliderX,1,,0.0, 0.0,
Collision,2,,0.0, 0.0,
Colm,1,,0.0, 0.0,
Colucci,1,,0.0, 0.0,
Combined,2,,0.0, 0.0,
Combined”.,1,,0.0, 0.0,
Comfort,2,,0.0, 0.0,
Commerzbank,2,,0.0, 0.0,
Commission,6,,0.0, 0.0,
Commission,,2,,0.0, 0.0,
Commission.,2,,0.0, 0.0,
Committee,5,,0.0, 0.0,
Committee:,1,,0.0, 0.0,
Commoditization:,1,,0.0, 0.0,
Commodity,2,,0.0, 0.0,
Common,2,,0.0, 0.0,
Commonwealth,1,,0.0, 0.0,
Communication,,1,,0.0, 0.0,
Community,3,,0.0, 0.0,
Community”.,1,,0.0, 0.0,
Companies,2,,0.0, 0.0,
Company,3,,0.0, 0.0,
Company.,1,,0.0, 0.0,
CompareAsiaGroup,1,,0.0, 0.0,
Comparison,1,,0.0, 0.0,
Compass,2,,0.0, 0.0,
Competition,1,,0.0, 0.0,
Competitors”.,2,,0.0, 0.0,
Compliance),1,,0.0, 0.0,
Compression,1,,0.0, 0.0,
Concedes,1,,0.0, 0.0,
Concerns,3,,0.0, 0.0,
Conclusion,150,,0.0, 0.0,
Concurrently,,1,,0.0, 0.0,
Conduct,1,,0.0, 0.0,
Conference,3,,0.0, 0.0,
Conference,,1,,0.0, 0.0,
Confirmation,,1,,0.0, 0.0,
Connected,7,,0.0, 0.0,
Connectedness,1,,0.0, 0.0,
Connection,1,,0.0, 0.0,
Connectivity,3,,0.0, 0.0,
Consensys,1,,0.0, 0.0,
Consequently,,1,,0.0, 0.0,
Consistent,1,,0.0, 0.0,
Consolidation,2,,0.0, 0.0,
Constrained,1,,0.0, 0.0,
Consulting,8,,0.0, 0.0,
Consumers,5,,0.0, 0.0,
Consumers’,1,,0.0, 0.0,
Contact,3,,0.0, 0.0,
Contact:,1,,0.0, 0.0,
Contents,1,,0.0, 0.0,
Context,26,,0.0, 0.0,
Continued,1,,0.0, 0.0,
Continuing,1,,0.0, 0.0,
Contri,5,,0.0, 0.0,
Contributing,4,,0.0, 0.0,
Control,4,,0.0, 0.0,
Controlled,,3,,0.0, 0.0,
Convergence,1,,0.0, 0.0,
Cook,1,,0.0, 0.0,
Cooperation,1,,0.0, 0.0,
Cooperative,1,,0.0, 0.0,
Core,4,,0.0, 0.0,
Corporate,3,,0.0, 0.0,
Corporation,1,,0.0, 0.0,
Cost,11,,0.0, 0.0,
Costs,6,,0.0, 0.0,
Cost‐Cutting,2,,0.0, 0.0,
Cost‐Saver,1,,0.0, 0.0,
Could,2,,0.0, 0.0,
Countries,4,,0.0, 0.0,
Country6,1,,0.0, 0.0,
Coupled,1,,0.0, 0.0,
Coworking,1,,0.0, 0.0,
Co‐Author,,1,,0.0, 0.0,
Co‐Head,,1,,0.0, 0.0,
Craig,1,,0.0, 0.0,
Create,1,,0.0, 0.0,
Creating,1,,0.0, 0.0,
Credit,13,,0.0, 0.0,
CreditEase,2,,0.0, 0.0,
Critical,1,,0.0, 0.0,
Cronin,1,,0.0, 0.0,
Cross‐Country,1,,0.0, 0.0,
CrowdEngine,2,,0.0, 0.0,
CrowdFundingBeat,2,,0.0, 0.0,
CrowdFundingBeat.,1,,0.0, 0.0,
Crowdcube,2,,0.0, 0.0,
Crowdfunding,27,,0.0, 0.0,
Crowdfunding:,1,,0.0, 0.0,
Crowdfunding‐as‐a‐Service,1,,0.0, 0.0,
Crowdfunding”.,2,,0.0, 0.0,
Crowdfunding…………………………………………………………………………………………………………………………………………………………………,1,,0.0, 0.0,
Cruzado,1,,0.0, 0.0,
Crédit,1,,0.0, 0.0,
Curated,3,,0.0, 0.0,
Curation,1,,0.0, 0.0,
Currency,1,,0.0, 0.0,
Current,7,,0.0, 0.0,
CurrentC,,1,,0.0, 0.0,
Customer,75,,0.0, 0.0,
Customers,63,,0.0, 0.0,
Customers,,1,,0.0, 0.0,
Customers’,4,,0.0, 0.0,
Cyber,5,,0.0, 0.0,
Cyborg,1,,0.0, 0.0,
Cycles,1,,0.0, 0.0,
Cyprys,1,,0.0, 0.0,
C‐suite,1,,0.0, 0.0,
D,831,,0.0, 0.0,
DATA,5,,0.0, 0.0,
DATA‐INFRASTRUCTURE,1,,0.0, 0.0,
DEEP,1,,0.0, 0.0,
DELOITTE,1,,0.0, 0.0,
DETAILS,1,,0.0, 0.0,
DID,7,,0.0, 0.0,
DIFFERENT,3,,0.0, 0.0,
DIFFERENTIATION,1,,0.0, 0.0,
DIFFERENTIATOR,1,,0.0, 0.0,
DIGITAL,23,,0.0, 0.0,
DISRUPTION,14,,0.0, 0.0,
DISRUPTIVE,1,,0.0, 0.0,
DISTRIBUTED,1,,0.0, 0.0,
DISTRIBUTION,3,,0.0, 0.0,
DISTRIBUTORS,1,,0.0, 0.0,
DIVES,1,,0.0, 0.0,
DLT,3,,0.0, 0.0,
DLT,,1,,0.0, 0.0,
DRIVER,1,,0.0, 0.0,
DTCC,5,,0.0, 0.0,
DTTL,4,,0.0, 0.0,
DTTL,,1,,0.0, 0.0,
Dan,7,,0.0, 0.0,
Daniel,4,,0.0, 0.0,
Dapra,1,,0.0, 0.0,
Darryl,1,,0.0, 0.0,
Data,33,,0.0, 0.0,
Data".,1,,0.0, 0.0,
Data.,1,,0.0, 0.0,
Dataminr,1,,0.0, 0.0,
Data‐Driven,1,,0.0, 0.0,
Data‐Infrastructure,2,,0.0, 0.0,
Data‐focused,1,,0.0, 0.0,
Data‐sharing,1,,0.0, 0.0,
Data”.,1,,0.0, 0.0,
David,5,,0.0, 0.0,
Davidson,1,,0.0, 0.0,
Davos‐,2,,0.0, 0.0,
Davos‐Klosters,,1,,0.0, 0.0,
Day,,2,,0.0, 0.0,
Day:,1,,0.0, 0.0,
Day”.,1,,0.0, 0.0,
Deal,3,,0.0, 0.0,
Debbie,1,,0.0, 0.0,
December,2,,0.0, 0.0,
Deck,5,,0.0, 0.0,
Declining,1,,0.0, 0.0,
Deep,3,,0.0, 0.0,
Default,1,,0.0, 0.0,
Defining,3,,0.0, 0.0,
Deloitte,33,,0.0, 0.0,
Deloitte.,2,,0.0, 0.0,
Deloitte1,1,,0.0, 0.0,
Demand,1,,0.0, 0.0,
Demographics,1,,0.0, 0.0,
Demonetization,3,,0.0, 0.0,
Dempsey,1,,0.0, 0.0,
Department,1,,0.0, 0.0,
Depending,7,,0.0, 0.0,
Deployment,2,,0.0, 0.0,
Depository,1,,0.0, 0.0,
Deputy,1,,0.0, 0.0,
Desai,1,,0.0, 0.0,
Description,2,,0.0, 0.0,
Despite,3,,0.0, 0.0,
Details,2,,0.0, 0.0,
Details............................................................................................................................................................................................,1,,0.0, 0.0,
Deutsche,7,,0.0, 0.0,
Developer,1,,0.0, 0.0,
Development,2,,0.0, 0.0,
Development,,1,,0.0, 0.0,
Dewoskin,1,,0.0, 0.0,
Di,70,,0.0, 0.0,
Dianrong.com,1,,0.0, 0.0,
Diary,1,,0.0, 0.0,
Dickinson,1,,0.0, 0.0,
Dieter,1,,0.0, 0.0,
Different,6,,0.0, 0.0,
Differentiator,2,,0.0, 0.0,
Differing,3,,0.0, 0.0,
Digital,15,,0.0, 0.0,
Digital,,1,,0.0, 0.0,
Dinesh,1,,0.0, 0.0,
Direct,13,,0.0, 0.0,
Direction,1,,0.0, 0.0,
Directive,5,,0.0, 0.0,
Director,6,,0.0, 0.0,
Director,,3,,0.0, 0.0,
Directory3,1,,0.0, 0.0,
Disclosure,4,,0.0, 0.0,
Disclosures,,1,,0.0, 0.0,
Disruption,3,,0.0, 0.0,
Disruptive,5,,0.0, 0.0,
Distribution,7,,0.0, 0.0,
Distributors,2,,0.0, 0.0,
Distributors’,1,,0.0, 0.0,
Divergence,1,,0.0, 0.0,
Diverging,1,,0.0, 0.0,
Dives,3,,0.0, 0.0,
Dixson,1,,0.0, 0.0,
Do,16,,0.0, 0.0,
Dodd‐,2,,0.0, 0.0,
Dodd‐Frank,1,,0.0, 0.0,
Does,1,,0.0, 0.0,
Dominance,2,,0.0, 0.0,
Dominik,1,,0.0, 0.0,
Donald,2,,0.0, 0.0,
Dorothy,1,,0.0, 0.0,
Doug,2,,0.0, 0.0,
Douglas,1,,0.0, 0.0,
Dresner,1,,0.0, 0.0,
Drexler,1,,0.0, 0.0,
Driver,3,,0.0, 0.0,
Drivers”.,1,,0.0, 0.0,
Du,7,,0.0, 0.0,
Dudtschak,1,,0.0, 0.0,
Due,4,,0.0, 0.0,
Dueweke,1,,0.0, 0.0,
Durbak,1,,0.0, 0.0,
E,1696,,0.0, 0.0,
EARLY,22,,0.0, 0.0,
ECB,1,,0.0, 0.0,
ECONOMIC,14,,0.0, 0.0,
ECOSYSTEM,3,,0.0, 0.0,
ECOSYSTEMS,1,,0.0, 0.0,
EFFECT,2,,0.0, 0.0,
EFFECTIVELY,1,,0.0, 0.0,
EMV,4,,0.0, 0.0,
EMVCo.,1,,0.0, 0.0,
END,75,,0.0, 0.0,
EQUITY,22,,0.0, 0.0,
ETF,6,,0.0, 0.0,
ETFs,3,,0.0, 0.0,
EU,5,,0.0, 0.0,
EVIDENCE,60,,0.0, 0.0,
EVOLUTIONARY,1,,0.0, 0.0,
EVP,,1,,0.0, 0.0,
EXPANSION,1,,0.0, 0.0,
EXPERIENCE,2,,0.0, 0.0,
EXPERTS,4,,0.0, 0.0,
EXTERNALIZATION,1,,0.0, 0.0,
EY,64,,0.0, 0.0,
EY.,2,,0.0, 0.0,
Each,1,,0.0, 0.0,
Early,4,,0.0, 0.0,
Early‐stage,2,,0.0, 0.0,
Ease,3,,0.0, 0.0,
East,3,,0.0, 0.0,
Economic,17,,0.0, 0.0,
Economics,4,,0.0, 0.0,
Economies,1,,0.0, 0.0,
Economy,3,,0.0, 0.0,
Economy,,1,,0.0, 0.0,
Economy”.,1,,0.0, 0.0,
Ecosystem,4,,0.0, 0.0,
Ecosystems,3,,0.0, 0.0,
Edel,1,,0.0, 0.0,
Edge,1,,0.0, 0.0,
Edition,1,,0.0, 0.0,
Editors’,1,,0.0, 0.0,
Education,1,,0.0, 0.0,
Edward,1,,0.0, 0.0,
Effectively,1,,0.0, 0.0,
Egan,1,,0.0, 0.0,
Elaine,1,,0.0, 0.0,
Electronification,1,,0.0, 0.0,
Electronifie,1,,0.0, 0.0,
Eli,2,,0.0, 0.0,
Elizabeth,1,,0.0, 0.0,
Ellison,1,,0.0, 0.0,
Else,1,,0.0, 0.0,
Elusive,1,,0.0, 0.0,
Emerging,4,,0.0, 0.0,
Emmanuel,1,,0.0, 0.0,
Employers’,1,,0.0, 0.0,
Empowers,1,,0.0, 0.0,
Enabled,1,,0.0, 0.0,
End,153,,0.0, 0.0,
Engagement,2,,0.0, 0.0,
Enhanced,1,,0.0, 0.0,
Entrants,4,,0.0, 0.0,
Entrepreneurs,4,,0.0, 0.0,
Entrepreneurship,1,,0.0, 0.0,
Entry,1,,0.0, 0.0,
Equal,1,,0.0, 0.0,
Equitable,1,,0.0, 0.0,
Equity,20,,0.0, 0.0,
Erica,,1,,0.0, 0.0,
Eroding,1,,0.0, 0.0,
Erosion,1,,0.0, 0.0,
Especially,1,,0.0, 0.0,
Established,1,,0.0, 0.0,
Establishing,1,,0.0, 0.0,
Estate,1,,0.0, 0.0,
Estonia,1,,0.0, 0.0,
Eurex,1,,0.0, 0.0,
Euronext,2,,0.0, 0.0,
Europe,26,,0.0, 0.0,
Europe,,5,,0.0, 0.0,
Europe?,2,,0.0, 0.0,
European,13,,0.0, 0.0,
Europe’s,1,,0.0, 0.0,
Even,2,,0.0, 0.0,
Everybody,1,,0.0, 0.0,
Evolution,3,,0.0, 0.0,
Evolutionary,2,,0.0, 0.0,
Example:,25,,0.0, 0.0,
Exchange,3,,0.0, 0.0,
Exchanges,,1,,0.0, 0.0,
Execution,2,,0.0, 0.0,
Executive,10,,0.0, 0.0,
Executive,,3,,0.0, 0.0,
Existing,1,,0.0, 0.0,
Exits,1,,0.0, 0.0,
Expands,1,,0.0, 0.0,
Expansion,5,,0.0, 0.0,
Expectations,1,,0.0, 0.0,
Experience,5,,0.0, 0.0,
Experiences,2,,0.0, 0.0,
Experience‐Driven,1,,0.0, 0.0,
Experts,4,,0.0, 0.0,
Expert‐Led,1,,0.0, 0.0,
Explained,1,,0.0, 0.0,
Exploring,1,,0.0, 0.0,
External,9,,0.0, 0.0,
Externalization,5,,0.0, 0.0,
E‐Z,3,,0.0, 0.0,
F,761,,0.0, 0.0,
FALLEN,1,,0.0, 0.0,
FAQ".,1,,0.0, 0.0,
FAQ”.,1,,0.0, 0.0,
FEWER,,1,,0.0, 0.0,
FIA,2,,0.0, 0.0,
FINANCIAL,4,,0.0, 0.0,
FINDING,88,,0.0, 0.0,
FINDINGS,28,,0.0, 0.0,
FINTECHS,3,,0.0, 0.0,
FINTRAC,1,,0.0, 0.0,
FLEXIBLE,1,,0.0, 0.0,
FORCES,8,,0.0, 0.0,
FORUM,14,,0.0, 0.0,
FOUR,2,,0.0, 0.0,
FRAGMENTATION,1,,0.0, 0.0,
FROM,1,,0.0, 0.0,
FT,10,,0.0, 0.0,
FT.,1,,0.0, 0.0,
FUNDING,23,,0.0, 0.0,
FUTURE,14,,0.0, 0.0,
FUTURES,7,,0.0, 0.0,
FX,5,,0.0, 0.0,
Fabian,1,,0.0, 0.0,
Facebook,3,,0.0, 0.0,
Facebook),1,,0.0, 0.0,
Facilitated,1,,0.0, 0.0,
Facilities,2,,0.0, 0.0,
Facility,2,,0.0, 0.0,
Facility,,1,,0.0, 0.0,
Facing,1,,0.0, 0.0,
Factor”.,1,,0.0, 0.0,
Faes,1,,0.0, 0.0,
Failing,1,,0.0, 0.0,
Failure,1,,0.0, 0.0,
Fargo,3,,0.0, 0.0,
Farm,2,,0.0, 0.0,
Fast,8,,0.0, 0.0,
Faster,6,,0.0, 0.0,
Faucette,1,,0.0, 0.0,
Faye,1,,0.0, 0.0,
February,4,,0.0, 0.0,
Fee,7,,0.0, 0.0,
Fees,4,,0.0, 0.0,
Fees,,3,,0.0, 0.0,
Feichtinger,1,,0.0, 0.0,
Feinberg,1,,0.0, 0.0,
Fejfar,1,,0.0, 0.0,
Felt,1,,0.0, 0.0,
Few,4,,0.0, 0.0,
Fewer,1,,0.0, 0.0,
Fidelity,1,,0.0, 0.0,
Fiduciary,3,,0.0, 0.0,
Figo,1,,0.0, 0.0,
FinLeap,1,,0.0, 0.0,
FinTech,1,,0.0, 0.0,
Finally,,1,,0.0, 0.0,
Finance,8,,0.0, 0.0,
Finance.,2,,0.0, 0.0,
Financial,54,,0.0, 0.0,
Financial,,1,,0.0, 0.0,
Finanser,1,,0.0, 0.0,
Find,179,,0.0, 0.0,
Finder.com.au,2,,0.0, 0.0,
Finder.com.au.,1,,0.0, 0.0,
Findings,176,,0.0, 0.0,
Finextra,2,,0.0, 0.0,
Finextra.,1,,0.0, 0.0,
Fintech,45,,0.0, 0.0,
Fintech:,1,,0.0, 0.0,
Fintech?,1,,0.0, 0.0,
Fintechs,37,,0.0, 0.0,
Fintechs,,1,,0.0, 0.0,
Fintech‐Run,1,,0.0, 0.0,
Fintech‐bank,1,,0.0, 0.0,
Fire,1,,0.0, 0.0,
Firms,10,,0.0, 0.0,
First,1,,0.0, 0.0,
Fittest:,1,,0.0, 0.0,
Five,2,,0.0, 0.0,
Fixed,2,,0.0, 0.0,
Flat‐fee,1,,0.0, 0.0,
Flexible,2,,0.0, 0.0,
Flint,1,,0.0, 0.0,
Flom,2,,0.0, 0.0,
Florida,1,,0.0, 0.0,
Flow,5,,0.0, 0.0,
Flows,4,,0.0, 0.0,
Focus,1,,0.0, 0.0,
Follow,2,,0.0, 0.0,
Following,1,,0.0, 0.0,
For,44,,0.0, 0.0,
Forbes,14,,0.0, 0.0,
Forbes.,7,,0.0, 0.0,
Forcing,1,,0.0, 0.0,
Foreign,1,,0.0, 0.0,
Foreword,1,,0.0, 0.0,
Forms,1,,0.0, 0.0,
Fortune.com,2,,0.0, 0.0,
Fortune.com.,1,,0.0, 0.0,
Forum,13,,0.0, 0.0,
Forum's,1,,0.0, 0.0,
Forum,,1,,0.0, 0.0,
Forum’s,1,,0.0, 0.0,
Forward‐looking,1,,0.0, 0.0,
Forward”.,1,,0.0, 0.0,
Founded,1,,0.0, 0.0,
Four,3,,0.0, 0.0,
Fourth,2,,0.0, 0.0,
Fractures,1,,0.0, 0.0,
Fragmentation,2,,0.0, 0.0,
France,1,,0.0, 0.0,
Francis,2,,0.0, 0.0,
Francisco,,1,,0.0, 0.0,
Frank,2,,0.0, 0.0,
Friday,2,,0.0, 0.0,
Fritz,1,,0.0, 0.0,
From,1,,0.0, 0.0,
Front‐End,1,,0.0, 0.0,
Fully,1,,0.0, 0.0,
Fund,16,,0.0, 0.0,
Fund/,1,,0.0, 0.0,
FundApps,2,,0.0, 0.0,
Funded,1,,0.0, 0.0,
Funding,9,,0.0, 0.0,
Fundraising,1,,0.0, 0.0,
Funds,1,,0.0, 0.0,
Furthermore,,1,,0.0, 0.0,
Future,14,,0.0, 0.0,
FutureAdvisor,3,,0.0, 0.0,
FutureAdvisor,,1,,0.0, 0.0,
Futures,6,,0.0, 0.0,
GOES,1,,0.0, 0.0,
GUIDANCE,1,,0.0, 0.0,
GUIDE,1,,0.0, 0.0,
Gained,1,,0.0, 0.0,
Galaski,5,,0.0, 0.0,
Galaski,,1,,0.0, 0.0,
Gamble,1,,0.0, 0.0,
Gap,1,,0.0, 0.0,
Garri,1,,0.0, 0.0,
Geert,1,,0.0, 0.0,
Generali,1,,0.0, 0.0,
German,3,,0.0, 0.0,
Germany,2,,0.0, 0.0,
Germany,,1,,0.0, 0.0,
Gever,1,,0.0, 0.0,
Gheel,1,,0.0, 0.0,
Giancarlo,4,,0.0, 0.0,
Giancarlo,,1,,0.0, 0.0,
Giles,1,,0.0, 0.0,
Gillligan,1,,0.0, 0.0,
Gimenez,1,,0.0, 0.0,
Giovanni,1,,0.0, 0.0,
Glenn,1,,0.0, 0.0,
Global,16,,0.0, 0.0,
Global”,,1,,0.0, 0.0,
Goksor,1,,0.0, 0.0,
Gold:,1,,0.0, 0.0,
Goldfarb,,1,,0.0, 0.0,
Goldstein,1,,0.0, 0.0,
Goodwin,1,,0.0, 0.0,
Google,4,,0.0, 0.0,
Google,,1,,0.0, 0.0,
Gordon,1,,0.0, 0.0,
Gorfine,1,,0.0, 0.0,
Governance,1,,0.0, 0.0,
Government,2,,0.0, 0.0,
Gradual,2,,0.0, 0.0,
Graham,1,,0.0, 0.0,
Grant,1,,0.0, 0.0,
Granularity,1,,0.0, 0.0,
Graseck,1,,0.0, 0.0,
Greg,1,,0.0, 0.0,
Group,17,,0.0, 0.0,
Group,,2,,0.0, 0.0,
Group.,1,,0.0, 0.0,
Group:,1,,0.0, 0.0,
Group’s,1,,0.0, 0.0,
Growing,4,,0.0, 0.0,
Growth,11,,0.0, 0.0,
Guastella,1,,0.0, 0.0,
Guide,2,,0.0, 0.0,
Gupta,1,,0.0, 0.0,
Guy,2,,0.0, 0.0,
HAS,7,,0.0, 0.0,
HAVE,3,,0.0, 0.0,
HBR,2,,0.0, 0.0,
HSBC,7,,0.0, 0.0,
HUMAN,1,,0.0, 0.0,
Hack”.,1,,0.0, 0.0,
Hamilton,1,,0.0, 0.0,
Hammerson,1,,0.0, 0.0,
Hammonds,1,,0.0, 0.0,
Hancock,4,,0.0, 0.0,
Hancock.,1,,0.0, 0.0,
Hanley,1,,0.0, 0.0,
Harris,1,,0.0, 0.0,
Harry,1,,0.0, 0.0,
Harte,1,,0.0, 0.0,
Harvard,1,,0.0, 0.0,
Has,3,,0.0, 0.0,
Hassan,1,,0.0, 0.0,
Hastings,1,,0.0, 0.0,
Havasi,1,,0.0, 0.0,
Haven,2,,0.0, 0.0,
He,22,,0.0, 0.0,
Head,12,,0.0, 0.0,
Head,,8,,0.0, 0.0,
Heather,1,,0.0, 0.0,
Hedge,1,,0.0, 0.0,
Heel”.,1,,0.0, 0.0,
Held,1,,0.0, 0.0,
Henrik,1,,0.0, 0.0,
Here,2,,0.0, 0.0,
Here?”.,1,,0.0, 0.0,
Hermann,,1,,0.0, 0.0,
Hessenmüller,1,,0.0, 0.0,
High,6,,0.0, 0.0,
